,census_tract,count
642,36047036501.0,880
643,36047036502.0,211
644,36047036600.0,203
645,36047036700.0,138
646,36047036900.0,858
647,36047037000.0,70
648,36047037100.0,450
649,36047037300.0,641
650,36047037401.0,237
651,36047037402.0,272
652,36047037500.0,1067
653,36047037700.0,1114
654,36047037900.0,782
655,36047038100.0,526
656,36047038200.0,596
657,36047038300.0,786
658,36047038500.0,786
659,36047038600.0,156
660,36047038700.0,594
661,36047038800.0,259
662,36047038900.0,666
663,36047039000.0,266
664,36047039100.0,578
665,36047039200.0,100
666,36047039300.0,934
667,36047039400.0,65
668,36047039500.0,828
669,36047039600.0,126
670,36047039700.0,593
671,36047039800.0,95
672,36047039900.0,577
673,36047040000.0,121
674,36047040100.0,980
675,36047040200.0,167
676,36047040300.0,774
677,36047040400.0,90
678,36047040500.0,241
679,36047040600.0,229
680,36047040800.0,119
681,36047040900.0,1087
682,36047041000.0,83
683,36047041100.0,455
684,36047041200.0,143
685,36047041300.0,668
686,36047041401.0,100
687,36047041402.0,468
688,36047041500.0,955
689,36047041600.0,241
690,36047041700.0,522
691,36047041800.0,246
692,36047041900.0,785
693,36047042000.0,48
694,36047042100.0,894
695,36047042200.0,212
696,36047042300.0,609
697,36047042400.0,246
698,36047042500.0,817
699,36047042600.0,248
700,36047042700.0,1518
701,36047042800.0,204
702,36047042900.0,1780
703,36047043000.0,300
704,36047043100.0,1465
705,36047043200.0,263
706,36047043300.0,769
707,36047043400.0,309
708,36047043500.0,888
709,36047043600.0,432
710,36047043700.0,1543
711,36047043800.0,125
712,36047043900.0,581
713,36047044000.0,114
714,36047044100.0,1341
715,36047044200.0,272
716,36047044300.0,789
717,36047044400.0,180
718,36047044500.0,1191
719,36047044600.0,50
720,36047044700.0,523
721,36047044800.0,252
722,36047044900.0,4
723,36047045000.0,12
724,36047045200.0,194
725,36047045300.0,439
726,36047045400.0,63
727,36047045600.0,254
728,36047045800.0,122
729,36047046000.0,412
730,36047046201.0,351
731,36047046202.0,62
732,36047046400.0,69
733,36047046800.0,45
734,36047047000.0,13
735,36047047200.0,35
736,36047047400.0,7
737,36047047600.0,28
738,36047047700.0,784
739,36047047800.0,170
740,36047048000.0,302
741,36047048100.0,941
742,36047048200.0,662
743,36047048400.0,320
744,36047048500.0,938
745,36047048600.0,515
746,36047048800.0,227
747,36047048900.0,1639
748,36047049000.0,751
749,36047049100.0,725
750,36047049200.0,451
751,36047049300.0,1974
752,36047049400.0,642
753,36047049500.0,600
754,36047049600.0,324
755,36047049700.0,413
756,36047049800.0,143
757,36047049900.0,256
758,36047050000.0,341
759,36047050100.0,286
760,36047050202.0,133
761,36047050300.0,569
762,36047050400.0,487
763,36047050500.0,607
764,36047050600.0,875
765,36047050700.0,159
766,36047050801.0,1578
767,36047050803.0,1985
768,36047050804.0,1815
769,36047050900.0,100
770,36047051001.0,2390
771,36047051002.0,1149
772,36047051100.0,746
773,36047051200.0,1324
774,36047051300.0,655
775,36047051400.0,817
776,36047051500.0,280
777,36047051601.0,1671
778,36047051602.0,1503
779,36047051700.0,267
780,36047051800.0,402
781,36047051900.0,599
782,36047052000.0,397
783,36047052300.0,1582
784,36047052500.0,641
785,36047052600.0,286
786,36047052700.0,1248
787,36047052800.0,174
788,36047052900.0,188
789,36047053000.0,233
790,36047053100.0,108
791,36047053200.0,153
792,36047053300.0,43
793,36047053400.0,464
794,36047053500.0,124
795,36047053700.0,53
796,36047053800.0,870
797,36047053900.0,57
798,36047054200.0,270
799,36047054300.0,16
800,36047054400.0,114
801,36047054500.0,841
802,36047054600.0,486
803,36047054700.0,333
804,36047054800.0,114
805,36047054900.0,382
806,36047055000.0,411
807,36047055100.0,968
808,36047055200.0,365
809,36047055300.0,711
810,36047055400.0,427
811,36047055500.0,818
812,36047055600.0,162
813,36047055700.0,417
814,36047055800.0,211
815,36047056000.0,396
816,36047056100.0,241
817,36047056200.0,32
818,36047056300.0,567
819,36047056400.0,73
820,36047056500.0,515
821,36047056600.0,180
822,36047056800.0,34
823,36047056900.0,413
824,36047057000.0,247
825,36047057100.0,267
826,36047057200.0,1384
827,36047057300.0,346
828,36047057400.0,57
