,census_tract,day_of_week,Pickup_longitude,Pickup_latitude,Passenger_count,Trip_distance,Total_amount,year,ride
1618,36081044301,498,-72379.6566696167,39897.76337814331,1397,3147.9299999999985,14896.090000000004,1971706,979
1619,36081044302,504,-131821.7663269043,72665.91176605225,2542,5390.989999999997,26099.150000000005,3590962,1783
1620,36081044400,199,-6062.735610961914,3342.632579803467,117,314.61999999999995,1385.6299999999999,165148,82
1621,36081044601,504,-298098.4892578125,164335.01595687866,5871,12301.679999999993,59091.26999999998,8120448,4032
1622,36081044602,481,-53674.30337524414,29591.32025527954,1086,2296.6599999999994,10842.809999999996,1462164,726
1623,36081044800,216,-6653.98299407959,3668.166316986084,122,235.98999999999998,1301.5099999999998,181260,90
1624,36081045000,504,-258543.68322753906,142529.52172470093,4949,10746.38,51136.05000000003,7042958,3497
1625,36081045200,172,-5396.942268371582,2975.1966133117676,109,201.63000000000008,991.4000000000001,147022,73
1626,36081045400,250,-8872.426986694336,4891.009349822998,169,300.7299999999999,1511.87,241680,120
1627,36081045500,504,-333138.81366729736,183652.22542190552,6430,13487.369999999999,66210.32999999997,9075084,4506
1628,36081045600,163,-4583.911949157715,2527.70804977417,78,158.65999999999997,793.5500000000001,124868,62
1629,36081045700,464,-43843.07848358154,24166.766284942627,842,1797.320000000001,8718.28,1194302,593
1630,36081045800,120,-3253.202476501465,1793.7597885131836,74,146.28,698.22,88616,44
1631,36081045900,468,-33491.152114868164,18462.43310546875,656,1509.4699999999998,6973.02,912342,453
1632,36081046000,496,-111121.64391326904,61254.61164474487,2226,4540.880000000001,22039.780000000006,3027042,1503
1633,36081046100,502,-157182.8567276001,86651.0210723877,3145,6459.98,31397.939999999995,4281764,2126
1634,36081046200,414,-23437.077293395996,12917.829833984375,495,924.7800000000003,4560.0199999999995,638438,317
1635,36081046300,384,-17891.901565551758,9864.990970611572,337,703.5899999999999,3361.61,487388,242
1636,36081046400,268,-10202.943466186523,5624.827541351318,203,424.51,2074.6099999999997,277932,138
1637,36081046500,504,-1015995.529083252,560072.3677520752,19763,42115.17000000001,201841.43,27676388,13742
1638,36081046600,455,-40808.984283447266,22497.103576660156,834,1612.5599999999995,7814.66,1111728,552
1639,36081046700,504,-787749.7970504761,434244.9164543152,15358,32565.109999999997,156916.5199999999,21459170,10655
1640,36081046800,480,-36892.085220336914,20336.540378570557,731,1443.4899999999996,6985.919999999998,1004986,499
1641,36081046900,504,-1368274.4443969727,754266.5014953613,26576,56784.17999999999,270603.55,37273098,18507
1642,36081047000,361,-15894.948783874512,8762.588890075684,293,697.1899999999999,3292.45,433010,215
1643,36081047100,504,-428886.088432312,236428.0432624817,8268,17330.390000000003,84138.13,11683214,5801
1644,36081047200,239,-8502.664031982422,4687.1856117248535,167,338.74,1642.9699999999998,231610,115
1645,36081047300,504,-1005862.0512237549,554484.9568328857,19465,41500.03,201057.06999999998,27400470,13605
1646,36081047500,504,-1481031.599472046,816442.0426063538,28818,61207.21999999998,298506.4600000001,40344448,20032
1647,36081047600,126,-2809.7669219970703,1548.4081535339355,64,125.66000000000003,592.55,76532,38
1648,36081047800,279,-13753.070976257324,7579.599521636963,271,621.4700000000001,2965.4500000000003,374604,186
1649,36081047900,495,-128498.86069488525,70829.22306442261,2531,5472.3200000000015,25900.460000000014,3500332,1738
1650,36081048000,326,-16044.422843933105,8844.320007324219,297,696.4800000000001,3174.7100000000005,437038,217
1651,36081048100,504,-530027.575553894,292175.7191925049,10246,22294.350000000002,107404.26999999995,14438366,7169
1652,36081048200,238,-7097.841987609863,3912.260108947754,126,282.90000000000015,1388.72,193344,96
1653,36081048300,504,-241244.2980041504,132986.12937545776,4720,9834.61,47440.77999999999,6571682,3263
1654,36081048400,279,-9020.30581665039,4971.677589416504,183,349.8600000000001,1718.6700000000003,245708,122
1655,36081048500,504,-215295.52835083008,118683.3801574707,4146,9027.949999999993,43288.42999999998,5864768,2912
1656,36081048900,503,-179064.58003997803,98709.64131164551,3540,7450.930000000002,35607.460000000014,4877908,2422
1657,36081049200,178,-5470.668769836426,3016.1466674804688,97,235.03,1044.31,149036,74
1658,36081049301,490,-57520.13430786133,31708.126403808594,1091,2392.3399999999997,11442.879999999992,1566892,778
1659,36081049302,494,-78666.0676651001,43361.73811721802,1535,3302.519999999999,15980.030000000004,2142896,1064
1660,36081049500,240,-6876.192283630371,3789.536422729492,136,317.11,1437.7499999999998,187302,93
1661,36081049600,280,-11607.196632385254,6399.516544342041,239,455.45000000000005,2210.1200000000003,316198,157
1662,36081049700,396,-20330.54180908203,11208.008808135986,420,861.7100000000002,4005.9400000000005,553850,275
1663,36081049900,361,-17005.13217163086,9373.482643127441,354,706.0100000000001,3492.31,463220,230
1664,36081050000,184,-6209.853233337402,3423.126117706299,125,319.18000000000006,1434.73,169176,84
1665,36081050201,108,-2809.1312866210938,1549.375560760498,54,120.61000000000001,536.0899999999999,76532,38
1666,36081050400,45,-1330.7112655639648,733.3789749145508,25,64.44,276.87,36252,18
1667,36081050500,365,-18778.614334106445,10352.339073181152,368,799.4199999999997,3756.2699999999995,511556,254
1668,36081050600,29,-887.2940292358398,488.8847465515137,18,31.59,168.15,24168,12
1669,36081050700,278,-9019.640319824219,4972.811882019043,181,314.24,1518.8400000000001,245708,122
1670,36081050800,45,-887.2391662597656,488.98411560058594,17,42.559999999999995,197.10000000000002,24168,12
1671,36081051000,59,-1330.6689071655273,733.2730369567871,38,55.29,260.3,36252,18
1672,36081051100,309,-12641.900268554688,6969.359294891357,275,502.5700000000001,2549.43,344394,171
1673,36081051200,47,-961.2292404174805,529.7252426147461,21,26.619999999999997,148.28,26182,13
1674,36081051300,376,-20922.828842163086,11533.170204162598,403,855.4100000000001,4282.869999999999,569962,283
1675,36081051500,448,-28316.7232131958,15610.01766204834,562,1191.5200000000004,5761.039999999998,771362,383
1676,36081051600,42,-887.2351379394531,488.92322158813477,12,39.82,186.8,24168,12
1677,36081051700,468,-46651.04320526123,25717.24488067627,834,1754.2000000000003,8858.94,1270834,631
1678,36081051800,22,-369.69651794433594,203.5601043701172,9,18.06,82.0,10070,5
1679,36081052000,24,-443.34442138671875,244.59163284301758,8,19.62,84.5,12084,6
1680,36081052100,460,-44285.6646194458,24412.90829849243,910,1723.2700000000002,8440.390000000001,1206386,599
1681,36081052200,16,-369.6912841796875,203.75103759765625,5,19.91,103.35,10070,5
1682,36081052400,84,-1774.640998840332,978.3337936401367,27,77.35000000000001,373.3,48336,24
1683,36081052500,256,-9019.136749267578,4972.454444885254,159,370.17999999999984,1827.7099999999998,245708,122
1684,36081052600,53,-1330.9686431884766,733.7178916931152,19,66.22,288.98,36252,18
1685,36081052800,53,-1330.8799667358398,733.497241973877,30,57.089999999999996,393.78,36252,18
1686,36081053000,105,-2218.2931060791016,1222.5831756591797,37,83.38,436.45,60420,30
1687,36081053100,452,-42806.93310546875,23598.835693359375,811,1845.2499999999998,8769.899999999998,1166106,579
1688,36081053401,118,-4288.268829345703,2363.5764389038086,93,194.92999999999998,972.88,116812,58
1689,36081053500,395,-38815.660789489746,21397.060291290283,726,1661.0800000000004,7742.099999999999,1057350,525
1690,36081053601,62,-1478.7971572875977,815.0054092407227,25,56.519999999999996,287.7,40280,20
1691,36081053800,28,-517.4599533081055,285.4676399230957,19,18.42,87.1,14098,7
1692,36081053900,461,-47613.83561706543,26247.788455963135,954,1996.7300000000005,9811.200000000003,1297016,644
1693,36081054000,141,-3622.8713912963867,1997.0591583251953,61,134.43,685.4200000000001,98686,49
1694,36081054200,150,-3918.547576904297,2159.9693565368652,58,179.24000000000004,812.5500000000001,106742,53
1695,36081054500,395,-29278.25835418701,16140.629287719727,569,1156.7899999999997,5914.299999999998,797544,396
1696,36081054700,292,-11829.644645690918,6520.757930755615,213,556.73,2546.9,322240,160
1697,36081054800,193,-6357.576469421387,3505.0817680358887,136,275.49,1249.4600000000003,173204,86
1698,36081054900,292,-10350.424217224121,5705.82413482666,208,464.65000000000003,2114.1900000000005,281960,140
1699,36081055100,315,-16856.85255432129,9292.649967193604,316,654.2400000000001,3313.5200000000004,459192,228
1700,36081055200,45,-961.3072891235352,529.8965682983398,15,31.93,168.5,26182,13
1701,36081055300,438,-34821.19541931152,19195.40334701538,683,1449.45,6783.999999999999,948594,471
1702,36081055400,154,-5175.338676452637,2853.0067176818848,104,213.49,1063.83,140980,70
1703,36081055500,344,-15820.936660766602,8720.903541564941,309,675.63,3486.91,430996,214
1704,36081055600,132,-2957.5041732788086,1629.5066947937012,59,128.45000000000002,623.43,80560,40
1705,36081055700,301,-11977.152099609375,6602.679225921631,234,460.0399999999999,2213.93,326268,162
1706,36081055800,51,-1330.840187072754,733.1239433288574,32,37.529999999999994,215.64,36252,18
1707,36081055900,295,-12864.125549316406,7091.386112213135,264,482.36000000000024,2417.8100000000004,350436,174
1708,36081056000,31,-2587.424774169922,1426.6299018859863,36,101.34,488.56,70490,35
1709,36081056100,66,-1700.3468933105469,937.0713844299316,34,60.23,303.5,46322,23
1710,36081056200,36,-887.2353897094727,488.8783264160156,17,46.56,211.57999999999998,24168,12
1711,36081056400,152,-4435.9549560546875,2445.0373039245605,84,210.99,928.13,120840,60
