,GEOID,STATE,COUNTY,TRACT,LAT,LON
384,36005040501,36,005,40501,40.8671472,-73.8908965
385,36005040502,36,005,40502,40.865878,-73.8889613
386,36005040600,36,005,40600,40.8879511,-73.8570053
387,36005040701,36,005,40701,40.8715794,-73.8902604
388,36005040702,36,005,40702,40.8691424,-73.8869998
389,36005040800,36,005,40800,40.8897426,-73.861742
390,36005040900,36,005,40900,40.87704,-73.8943325
391,36005041100,36,005,41100,40.875562,-73.8871522
392,36005041300,36,005,41300,40.8741039,-73.8851968
393,36005041400,36,005,41400,40.9035525,-73.854095
394,36005041500,36,005,41500,40.8701057,-73.8835532
395,36005041800,36,005,41800,40.8971161,-73.8584601
396,36005041900,36,005,41900,40.8768595,-73.8816851
397,36005042000,36,005,42000,40.8930261,-73.8598558
398,36005042100,36,005,42100,40.8814794,-73.8827627
399,36005042200,36,005,42200,40.8910968,-73.8552807
400,36005042300,36,005,42300,40.877008,-73.8773556
401,36005042400,36,005,42400,40.8892857,-73.8495425
402,36005042500,36,005,42500,40.8710168,-73.8790971
403,36005042600,36,005,42600,40.8908411,-73.8419292
404,36005042800,36,005,42800,40.8945094,-73.845703
405,36005042901,36,005,42901,40.8749499,-73.8742925
406,36005042902,36,005,42902,40.8771332,-73.8739243
407,36005043000,36,005,43000,40.8934599,-73.8506574
408,36005043100,36,005,43100,40.8849455,-73.8784935
409,36005043400,36,005,43400,40.898211,-73.8523371
410,36005043500,36,005,43500,40.8952111,-73.8811111
411,36005043600,36,005,43600,40.8972795,-73.849759
412,36005044200,36,005,44200,40.9038676,-73.8462552
413,36005044400,36,005,44400,40.8995005,-73.8437344
414,36005044800,36,005,44800,40.8954712,-73.8413102
415,36005044901,36,005,44901,40.8974999,-73.8733943
416,36005044902,36,005,44902,40.8988257,-73.8689887
417,36005045101,36,005,45101,40.89744,-73.8643289
418,36005045102,36,005,45102,40.9003655,-73.864136
419,36005045600,36,005,45600,40.8873476,-73.8203804
420,36005045800,36,005,45800,40.8858611,-73.8452028
421,36005046000,36,005,46000,40.8824438,-73.8426481
422,36005046201,36,005,46201,40.8763935,-73.8260042
423,36005046202,36,005,46202,40.8795116,-73.8341096
424,36005048400,36,005,48400,40.8863099,-73.8345657
425,36005050400,36,005,50400,40.8696967,-73.7956769
426,36005051600,36,005,51600,40.8387492,-73.782422
1096,36047000100,36,047,00100,40.700283,-73.9940308
1097,36047000200,36,047,00200,40.6532132,-74.0109709
1098,36047000301,36,047,00301,40.6964163,-73.9974952
1099,36047000501,36,047,00501,40.6958143,-73.9947007
1100,36047000502,36,047,00502,40.6951345,-73.9928612
1101,36047000700,36,047,00700,40.6923198,-73.997299
1102,36047000900,36,047,00900,40.6917355,-73.9916274
1103,36047001100,36,047,01100,40.6932904,-73.9877086
1104,36047001300,36,047,01300,40.6976319,-73.9883899
1105,36047001500,36,047,01500,40.6942748,-73.9830225
1106,36047001800,36,047,01800,40.6544179,-74.0189565
1107,36047002000,36,047,02000,40.6480502,-74.0159179
1108,36047002100,36,047,02100,40.7027774,-73.9871401
1109,36047002200,36,047,02200,40.6434736,-74.0217116
1110,36047002300,36,047,02300,40.6995619,-73.9832758
1111,36047002901,36,047,02901,40.6949037,-73.9780855
1112,36047003000,36,047,03000,40.638902,-74.0289543
1113,36047003100,36,047,03100,40.6916118,-73.9777174
1114,36047003300,36,047,03300,40.6885118,-73.978109
1115,36047003400,36,047,03400,40.6371117,-74.0376784
1116,36047003500,36,047,03500,40.6853252,-73.9761803
1117,36047003600,36,047,03600,40.6346861,-74.0308979
1118,36047003700,36,047,03700,40.689405,-73.9847342
1119,36047003800,36,047,03800,40.6348106,-74.0388187
1120,36047003900,36,047,03900,40.6849013,-73.980824
1121,36047004100,36,047,04100,40.6865997,-73.9850537
1122,36047004300,36,047,04300,40.6882118,-73.9896017
1123,36047004400,36,047,04400,40.6296061,-74.0413036
1124,36047004500,36,047,04500,40.688146,-73.995287
1125,36047004600,36,047,04600,40.6274603,-74.0417324
1126,36047004700,36,047,04700,40.6884833,-74.0021454
1127,36047004900,36,047,04900,40.6879988,-73.9984363
1128,36047005000,36,047,05000,40.624266,-74.0420766
1129,36047005100,36,047,05100,40.6834631,-74.0034666
1130,36047005201,36,047,05201,40.6219461,-74.041916
1131,36047005202,36,047,05202,40.6197601,-74.0414773
1132,36047005300,36,047,05300,40.677089,-74.0183485
1133,36047005400,36,047,05400,40.6167794,-74.0395213
1134,36047005601,36,047,05601,40.6143871,-74.039767
1135,36047005602,36,047,05602,40.6112789,-74.0373691
1136,36047005800,36,047,05800,40.6190887,-74.0321884
1137,36047005900,36,047,05900,40.6794,-74.0060998
1138,36047006000,36,047,06000,40.6220831,-74.0316042
1139,36047006200,36,047,06200,40.624911,-74.0304459
1140,36047006300,36,047,06300,40.6819738,-74.0013029
1141,36047006400,36,047,06400,40.6289253,-74.0288094
1142,36047006500,36,047,06500,40.6790574,-73.999459
1143,36047006600,36,047,06600,40.6321309,-74.0274985
1144,36047006700,36,047,06700,40.6841759,-73.9972232
1145,36047006800,36,047,06800,40.6351749,-74.0262304
1146,36047006900,36,047,06900,40.6852348,-73.9917012
1147,36047007000,36,047,07000,40.6381681,-74.0243104
1148,36047007100,36,047,07100,40.683021,-73.9861157
1149,36047007200,36,047,07200,40.6403426,-74.0204484
1150,36047007400,36,047,07400,40.641867,-74.0170733
1151,36047007500,36,047,07500,40.6812953,-73.9920163
1152,36047007600,36,047,07600,40.6440892,-74.0146726
1153,36047007700,36,047,07700,40.6769912,-73.995249
1154,36047007800,36,047,07800,40.6463204,-74.012337
1155,36047008000,36,047,08000,40.6485378,-74.0099676
1156,36047008200,36,047,08200,40.6507698,-74.0076247
1157,36047008400,36,047,08400,40.6538853,-74.00441
1158,36047008500,36,047,08500,40.6758571,-74.0064742
1159,36047008600,36,047,08600,40.6479769,-74.0037438
1160,36047008800,36,047,08800,40.6502102,-74.0014031
1161,36047009000,36,047,09000,40.6472568,-73.9972994
1162,36047009200,36,047,09200,40.6453168,-73.9993384
1163,36047009400,36,047,09400,40.6433565,-74.0013789
1164,36047009600,36,047,09600,40.6460153,-74.0057847
1165,36047009800,36,047,09800,40.6437764,-74.0081153
1166,36047010000,36,047,10000,40.6415355,-74.0104457
1167,36047010100,36,047,10100,40.6583838,-73.9997781
1168,36047010200,36,047,10200,40.6392844,-74.0127872
1169,36047010400,36,047,10400,40.636624,-74.0083814
1170,36047010600,36,047,10600,40.6388746,-74.00604
1171,36047010800,36,047,10800,40.641116,-74.0037106
1172,36047011000,36,047,11000,40.6445789,-73.9927738
1173,36047011200,36,047,11200,40.6422528,-73.9956749
1174,36047011400,36,047,11400,40.6394233,-73.9992118
1175,36047011600,36,047,11600,40.6358731,-74.0036488
1176,36047011700,36,047,11700,40.6685527,-73.9933231
1177,36047011800,36,047,11800,40.6351044,-74.0114899
1178,36047011900,36,047,11900,40.6752052,-73.9893392
1179,36047012000,36,047,12000,40.6327787,-74.0117219
1180,36047012100,36,047,12100,40.671479,-73.991049
1181,36047012200,36,047,12200,40.6380784,-74.0176257
1182,36047012600,36,047,12600,40.6347464,-74.0190561
1183,36047012700,36,047,12700,40.6817476,-73.9828507
1184,36047012801,36,047,12801,40.6308009,-74.0133028
1185,36047012901,36,047,12901,40.6817265,-73.9785276
1186,36047012902,36,047,12902,40.6807693,-73.9760267
1187,36047013000,36,047,13000,40.6325873,-74.0213843
1188,36047013100,36,047,13100,40.6777175,-73.9796019
1189,36047013200,36,047,13200,40.6279937,-74.0156512
1190,36047013300,36,047,13300,40.6751825,-73.9813092
1191,36047013400,36,047,13400,40.6295241,-74.0202705
1192,36047013500,36,047,13500,40.672811,-73.9833133
1193,36047013600,36,047,13600,40.6268831,-74.0225642
1194,36047013700,36,047,13700,40.6703973,-73.9853274
1195,36047013800,36,047,13800,40.6243111,-74.0255174
1196,36047013900,36,047,13900,40.6679862,-73.9873365
1197,36047014000,36,047,14000,40.6207738,-74.0196672
1198,36047014100,36,047,14100,40.6654413,-73.9893778
1199,36047014200,36,047,14200,40.6224953,-74.022483
1200,36047014300,36,047,14300,40.663624,-73.9926592
1201,36047014500,36,047,14500,40.6613838,-73.9949908
1202,36047014700,36,047,14700,40.6598876,-73.9896397
1203,36047014800,36,047,14800,40.6167077,-74.012961
1204,36047014900,36,047,14900,40.6624407,-73.9851561
1205,36047015000,36,047,15000,40.6153783,-74.0107586
1206,36047015100,36,047,15100,40.665689,-73.9825855
1207,36047015200,36,047,15200,40.6145083,-74.0244624
1208,36047015300,36,047,15300,40.6681002,-73.9805759
1209,36047015400,36,047,15400,40.6111832,-74.018907
1210,36047015500,36,047,15500,40.6705136,-73.9785613
1211,36047015700,36,047,15700,40.6730524,-73.9764165
1212,36047015900,36,047,15900,40.6751927,-73.97307
1213,36047016000,36,047,16000,40.6189793,-74.0268696
1214,36047016100,36,047,16100,40.6798885,-73.9731895
1215,36047016200,36,047,16200,40.6132207,-74.031328
1216,36047016300,36,047,16300,40.6791843,-73.9700051
1217,36047016400,36,047,16400,40.6067615,-74.0301151
