,GEOID,accommodates,bathrooms,bedrooms,beds,dailyrate,number_of_reviews,review_scores_location,review_scores_rating,airbnb_listings
211,36047003900,3.18421052632,1.19736842105,1.36842105263,1.55263157895,147.394736842,13.6842105263,9.66666666667,95.5333333333,38.0
212,36047004100,2.75471698113,1.25490196078,1.2641509434,1.46153846154,170.79245283,13.6037735849,9.84615384615,93.8205128205,53.0
213,36047004300,2.90384615385,1.13461538462,1.13461538462,1.48076923077,143.192307692,12.1538461538,9.87179487179,95.3076923077,52.0
214,36047004500,2.76315789474,1.05263157895,1.05263157895,1.47368421053,151.815789474,16.2894736842,9.89285714286,95.4642857143,38.0
215,36047004700,2.75,1.0,1.33333333333,1.58333333333,285.25,10.75,9.5,95.625,12.0
216,36047004900,2.85714285714,1.19047619048,1.09523809524,1.61904761905,179.666666667,2.90476190476,9.69230769231,95.4615384615,21.0
217,36047005100,3.11764705882,1.0625,1.35294117647,1.70588235294,120.176470588,8.47058823529,9.38461538462,95.6153846154,17.0
218,36047005400,2.0,1.05555555556,0.888888888889,1.22222222222,93.2222222222,8.44444444444,9.875,94.75,9.0
219,36047005800,2.26666666667,1.2,0.933333333333,1.33333333333,77.3333333333,5.33333333333,9.2,89.3,15.0
220,36047005900,2.86956521739,1.10869565217,1.26086956522,1.47826086957,143.347826087,9.82608695652,9.31578947368,95.6842105263,23.0
221,36047006000,1.5,1.0,0.5,1.0,127.0,3.0,10.0,100.0,2.0
222,36047006200,2.83333333333,1.0,1.16666666667,1.5,75.0,10.8333333333,9.4,91.4,6.0
