,census_tract,rides
1361,36061028500,212
1362,36061028700,474
1363,36061029100,171
1364,36061029300,226
1365,36061029500,428
1366,36061029700,210
1367,36061029900,44
1368,36061030300,98
1369,36061030700,279
1370,36061030900,180
1371,36061031100,46
1372,36061031703,35323
1373,36061031704,12088
1374,36061031900,10404
1375,36081000100,785
1376,36081000200,46
1377,36081000400,37
1378,36081000600,52
1379,36081000700,7909
1380,36081000800,45
1381,36081001000,21
1382,36081001200,63
1383,36081001400,57
1384,36081001600,55
1385,36081001800,17
1386,36081001900,6589
1387,36081002000,53
1388,36081002200,39
1389,36081002400,58
1390,36081002500,913
1391,36081002600,72
1392,36081003000,6
1393,36081003100,941
1394,36081003200,14
1395,36081003300,1754
1396,36081003400,25
1397,36081003600,13
1398,36081003700,242
1399,36081003800,42
1400,36081003900,151
1401,36081004001,1
1402,36081004002,116
1403,36081004200,56
1404,36081004300,254
1405,36081004401,181
1406,36081004500,317
1407,36081004700,185
1408,36081005000,11
1409,36081005100,364
1410,36081005200,20
1411,36081005300,516
1412,36081005400,77
1413,36081005500,605
1414,36081005700,917
1415,36081005800,68
1416,36081005900,567
1417,36081006100,701
1418,36081006201,80
1419,36081006202,59
1420,36081006300,813
1421,36081006501,720
1422,36081006502,575
1423,36081006900,412
1424,36081007100,535
1425,36081007300,631
1426,36081007500,675
1427,36081007700,307
1428,36081007900,169
1429,36081008100,449
1430,36081008300,285
1431,36081008500,116
1432,36081008600,48
1433,36081008700,44
1434,36081008800,66
1435,36081009100,243
1436,36081009400,25
1437,36081009500,285
1438,36081009600,3
1439,36081009700,229
1440,36081009800,49
1441,36081009900,325
1442,36081010100,240
1443,36081010200,19
1444,36081010300,294
1445,36081010500,76
1446,36081010600,57
1447,36081010800,16
1448,36081011000,9
1449,36081011100,271
1450,36081011200,6
1451,36081011300,649
1452,36081011400,38
1453,36081011500,492
1454,36081011600,42
1455,36081011700,340
1456,36081011800,36
1457,36081011900,321
1458,36081012000,146
1459,36081012100,431
1460,36081012301,324
1461,36081012400,15
